"agency","fiscal_year","n","n_matched","mean_salary","male_mean","female_mean","male_n","female_n","real_male_mean","real_female_mean","gap","gap_dollars","female_share","suppressed"
"COMMUNITY COLLEGE (HOSTOS)",2024,461,461,84704.3969631236,84334.1492071808,84968.1859879852,191.797611972744,269.202388027256,87626.6030661209,88285.3930087857,-0.00751814996374405,-634.036780804352,0.58395311936498,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2025,470,470,86416.9361702127,85764.8676422191,86896.2277995954,199.111719058824,270.888280941176,85764.8676422191,86896.2277995954,-0.013191417284009,-1131.36015737632,0.576358044555694,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2014,819,819,63428.5592185592,65315.7461037958,61970.7115852334,356.940176571622,462.059823428379,85906.1026283346,81506.5681242001,0.0512132941610548,3345.03451856246,0.564175608581659,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2015,831,831,64058.9702166065,66179.3624834405,62447.1802082233,358.87783559245,472.12216440755,86622.4592886639,81737.3894563007,0.0563949566022351,3732.18227521721,0.568137381958544,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2016,828,828,65847.4833937198,66848.8236048894,65077.9594783696,359.805019689534,468.194980310465,86996.4308148674,84691.8448826471,0.0264905802529375,1770.86412651979,0.565452874771094,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2017,809,809,73516.8640296663,73950.9362037068,73187.370135331,349.099536447743,459.900463552258,94571.0183404695,93594.5436078494,0.0103253063121801,763.56606837576,0.568480177444076,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2018,796,796,74675.6721105527,75638.8028995112,73967.9015314757,337.174528504705,458.825471495296,95040.2586966308,92940.768855608,0.0220905316316984,1670.90136803545,0.576413908913688,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2019,797,797,75491.511919699,76411.4739304432,74825.7062201134,334.631068039107,462.368931960893,94338.718043504,92380.9061441619,0.0207530051281741,1585.76771032983,0.580136677491711,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2020,791,791,79530.9582806576,79455.5595492311,79587.0359861548,337.379579841717,453.620420158283,96392.6868325683,96552.189415926,-0.0016547166449974,-131.476436923695,0.573477143057248,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2021,760,760,80628.3565789474,81127.2322436288,80271.3664074284,317.003575652519,442.996424347481,96430.4117920421,95413.1024035533,0.010549673796713,855.865836200464,0.582890032036159,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2022,744,744,84422.7809139785,83622.356876916,85002.83105603,312.615268156115,431.384731843885,94620.2199815182,96182.2516604246,-0.0165084342354267,-1380.47417911395,0.579818187962211,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2023,719,719,87597.7552155772,87717.811828949,87511.6246449072,300.347864003002,418.652135996998,94268.1564454354,94046.5721934227,0.00235057372890176,206.187184041875,0.582270008340748,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2024,709,709,88729.9111424542,88934.2464503882,88588.7128616805,289.724600849745,419.275399150256,92406.2907606733,92047.2673412358,0.00388527032609913,345.53358870768,0.591361634908682,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2025,698,698,90760.1404011461,91208.0026178815,90444.433176581,288.596728506034,409.403271493967,91208.0026178815,90444.433176581,0.00837173734085101,763.569441300555,0.586537638243505,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2014,839,839,67164.7759237187,68080.7264491425,66476.5720307585,359.942321996202,479.057678003798,89542.7247215007,87432.8712433148,0.0235625338043696,1604.15441838396,0.570986505368054,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2015,897,897,67121.5930880714,68004.8530635057,66473.6636866951,379.569426118323,517.430573881677,89011.8519561,87007.6714309524,0.0225158839087664,1531.18937681061,0.576845678797856,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2016,958,958,68349.3507306889,68837.8931634618,67970.4176710821,418.47622704299,539.52377295701,89584.9872457338,88456.062792217,0.0126017147317363,867.475492379686,0.563177216030281,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2017,1017,1017,74961.5722713865,75604.0433669155,74480.4855731126,435.46061879773,581.53938120227,96685.0690324031,95248.2244138088,0.0148610807539767,1123.55779380289,0.57181846725887,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2018,984,984,76255.4928861788,76956.8327457123,75747.0078846849,413.571631388945,570.428368611055,96696.364990635,95176.2184076381,0.015720824491634,1209.82486102737,0.579703626637251,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2019,956,956,77441.1025104604,78605.1305623645,76600.559946084,400.863249724102,555.136750275899,97047.038454539,94572.166390957,0.025501778343719,2004.57061628051,0.580686977276044,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2020,933,933,81293.9882100754,82267.631811904,80593.6811617207,390.326008740451,542.67399125955,99804.193875048,97773.4158941025,0.0203476216990257,1673.95065018335,0.581644149259967,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2021,909,909,82920.1265126513,84332.4819389541,81916.8043458344,377.542041303087,531.457958696913,100240.273653079,97368.9223371392,0.0286446875222805,2415.6775931197,0.584662220788683,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2022,861,861,86687.1567944251,87322.3141769872,86234.4645446945,358.292189883385,502.707810116615,98806.789061008,97575.8673869652,0.0124578653525815,1087.84963229272,0.58386505240025,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2023,848,848,89386.1568396226,90017.2666169355,88930.1210711256,355.719004852563,492.280995147438,96739.3234658327,95570.995115472,0.0120770779503471,1087.14554580991,0.580520041447449,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2024,858,858,89521.1888111888,89455.4597982872,89568.2854187422,358.153486041535,499.846513958465,92947.8525784951,93065.0829762905,-0.00126124912564748,-112.825620454983,0.582571694590286,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2025,866,866,91955.8591224018,92791.5202656594,91369.6451242409,357.036498929757,508.963501070244,92791.5202656594,91369.6451242409,0.0153233305947319,1421.87514141847,0.587717668672337,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2014,1041,1041,64754.3707973103,65898.3522901146,63769.3569027195,481.635362077323,559.364637922677,86672.3715576411,83872.2244697678,0.0323072628283978,2128.99538739508,0.537333946131294,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2015,1087,1087,65394.6504139834,66709.0468001693,64280.808972026,498.61081701933,588.38918298067,87315.7654258025,84137.434228306,0.0364004275974322,2428.23782814328,0.541296396486357,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2016,1089,1089,66017.6550964187,67298.9637941192,64952.6454425716,494.304411962939,594.69558803706,87582.2390268529,84528.7623741221,0.0348641081417747,2346.31835154755,0.546093285617136,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2017,1160,1160,72837.7036206896,74273.6620938348,71635.629448671,528.578007591357,631.421992408643,94983.7313856454,91610.123876725,0.0355177403509602,2638.03264516378,0.544329303800554,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2018,1195,1195,73476.8905439331,74910.4028891132,72279.1290718066,543.966557101343,651.033442898657,94125.0230930894,90818.8239636462,0.0351256129432585,2631.27381730654,0.54479786016624,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2019,1210,1210,74356.1586776859,75866.4429598241,73076.0883083248,555.085406829836,654.914593170164,93665.8148731108,90220.802400916,0.0367798270570954,2790.35465149932,0.541251729892698,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2020,1207,1207,77952.0472245237,79572.654205841,76634.0241677461,541.359003653914,665.640996346086,96534.7419465011,92969.6994675875,0.0369301497785052,2938.63003809491,0.551483841214653,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2021,1165,1165,79457.7630901287,81592.1015192515,77744.5258352734,518.747794934297,646.252205065704,96982.9702170987,92409.6192306774,0.0471562272859249,3847.57568397808,0.554722922803179,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2022,1138,1138,83108.0193321617,85167.5321234078,81455.2577407735,506.655084494322,631.344915505679,96368.613918181,92168.1078354162,0.0435879059787152,3712.27438263431,0.554784635769489,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2023,1123,1123,86304.9572573464,88620.2939991008,84487.0584183318,493.923067369303,629.076932630697,95238.0316467341,90796.1458970808,0.0466398315132072,4133.23558076895,0.560175362983702,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2024,1080,1080,87853.2944444444,89561.279484898,86542.1696114656,469.017319335723,610.982680664276,93057.8035267456,89920.8258613595,0.0337099904199281,3019.10987343242,0.565724704318774,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2025,1057,1057,89374.2904446547,90842.2759352599,88230.471317326,462.904770626717,594.095229373283,90842.2759352599,88230.471317326,0.0287509817543017,2611.8046179339,0.562057927505471,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2014,763,763,68340.9777195282,70646.9025300931,66448.5528317147,343.92565963703,419.074340362971,92917.8708221392,87396.0191772785,0.059427229616897,4198.34969837838,0.549245531275191,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2015,794,794,68102.3450881612,69429.2757411617,66977.8274352497,364.220209848372,429.779790151628,90876.285078072,87667.573583907,0.0353085680318949,2451.448305912,0.541284370468045,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2016,829,829,68111.1592279855,68292.539947392,67952.892367249,386.292248852075,442.707751147925,88875.2696954012,88433.255526506,0.00497342140744329,339.647580143035,0.534026237814144,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2017,863,863,75836.0249130938,75884.8446080023,75793.4157376547,402.189355114692,460.810644885308,97044.16738442,96927.2449785874,0.00120483702404515,91.4288703476341,0.533963667306266,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2018,864,864,76073.5266203704,76066.5948550726,76079.3488339035,394.417503695783,469.582496304217,95577.7798705037,95593.8052622473,-0.000167668591647958,-12.7539788308059,0.543498259611362,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2019,874,874,77756.0183066361,78227.4313117496,77378.0824893251,388.904882904219,485.095117095781,96580.7254615265,95532.1070413108,0.0108574295254528,849.348822424523,0.555028738095859,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2020,833,833,82474.0780312124,83020.4940512653,82034.3157651901,371.456127932548,461.543872067452,100717.539831939,99521.1430633554,0.0118787330447133,986.178286075185,0.554074276191419,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2021,803,803,84266.9464508095,84793.2014711094,83852.824463916,353.624081545656,449.375918454344,100787.8995609,99670.1375032582,0.0110902406192767,940.377007193412,0.559621318124962,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2022,779,779,88015.7483953787,88558.2930720345,87587.6167611845,343.589865446688,435.410134553312,100205.321694022,99106.9837674951,0.0109608742126556,970.67631085006,0.558934704176267,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2023,753,753,91048.05312085,91392.9159313178,90774.7630538244,332.907000780553,420.092999219447,98217.6996596566,97553.3860961086,0.00676368481292326,618.152877493427,0.557892429242294,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2024,727,727,91394.2613480056,92801.3148710194,90313.343586181,315.850595879147,411.149404120853,96424.3317643444,93839.2286446005,0.0268096555344751,2487.97128483839,0.565542509107088,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2025,719,719,93636.5104311544,93823.2811049708,93486.0952505242,320.738588072294,398.261411927706,93823.2811049708,93486.0952505242,0.00359383993477363,337.185854446536,0.553910169579563,FALSE
"CONFLICTS OF INTEREST BOARD",2014,19,19,,,,8.18766471698839,10.8123352830116,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2015,20,20,,,,9.22061570620562,10.7793842937944,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2016,20,20,,,,7.31806075507017,12.6819392449298,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2017,22,22,,,,9.90257496342253,12.0974250365775,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2018,25,25,,,,11.8621330455245,13.1378669544755,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2019,23,23,,,,10.6071169340199,12.3928830659801,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2020,23,23,,,,10.5982845689171,12.4017154310829,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2021,21,21,,,,10.5061419839115,10.4938580160885,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2022,23,23,,,,11.8508626031741,11.1491373968259,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2023,22,22,,,,8.87258736957522,13.1274126304248,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2024,21,21,,,,7.87614550563273,13.1238544943673,,,,,,TRUE
"CONFLICTS OF INTEREST BOARD",2025,20,20,,,,7.78764941754232,12.2123505824577,,,,,,TRUE
"CONSUMER AFFAIRS",2014,302,302,57180.2516556291,56861.7921703238,57449.5447906476,138.368633270877,163.631366729123,74787.0956882632,75560.1334308217,-0.0103365124082484,-587.752620323794,0.541825717646104,FALSE
"CONSUMER AFFAIRS",2015,325,325,58562.6369230769,57949.407743218,59036.8144845397,141.72039000614,183.27960999386,75850.2352496238,77273.5467268827,-0.0187647602222298,-1087.40674132171,0.56393726151957,FALSE
"CONSUMER AFFAIRS",2016,315,315,58421.2984126984,58202.8541586779,58590.3832637486,137.439297807317,177.560702192683,75744.6474297102,76248.9741651708,-0.00665824916445149,-387.529105070709,0.563684768865661,FALSE
"CONSUMER AFFAIRS",2017,347,347,62277.2564841499,63727.2862196014,61262.8501056251,142.83146207436,204.16853792564,81496.6606678361,78345.0544151205,0.0386715998777034,2464.43611397631,0.588381953676196,FALSE
"CONSUMER AFFAIRS",2018,344,344,64382.0232558139,65052.7579149336,63898.628096206,144.080789012494,199.919210987506,81738.8787786398,80288.7130920267,0.0177414433410612,1154.12981872757,0.581160497056703,FALSE
"CONSUMER AFFAIRS",2019,351,351,67949.5641025642,68889.1346383121,67214.7578422656,154.037608484394,196.962391515606,85051.5284500417,82984.3184835831,0.0243053829146999,1674.37679604649,0.561146414574375,FALSE
"CONSUMER AFFAIRS",2020,338,338,70108.2278106509,71932.3204496113,68806.4927463396,140.758382580302,197.241617419698,87265.7580863568,83473.6139921812,0.0434551211991193,3125.82770327175,0.583555081123368,FALSE
"CONSUMER AFFAIRS",2021,317,317,69972.5772870662,72116.4522754818,68450.7943535148,131.601256910781,185.398743089219,85719.9117679994,81362.7940267887,0.0508297039899349,3665.65792196701,0.584854079145802,FALSE
"CONSUMER AND WORKER PROTECTION",2022,346,346,71393.7417919075,73028.4246185173,70019.4963894527,158.02600562433,187.97399437567,82632.992663417,79228.3355648163,0.0412021516934335,3008.92822906462,0.54327744039211,FALSE
"CONSUMER AND WORKER PROTECTION",2023,353,353,76415.6976203966,79520.7368763071,74151.067089523,148.875928900863,204.124071099137,85458.963330388,79688.3124105045,0.0675254027781015,5369.66978678407,0.578255158921068,FALSE
"CONSUMER AND WORKER PROTECTION",2024,339,339,82249.8907669616,84044.2059858222,80908.1154510506,145.041039807539,193.95896019246,87325.3402940583,84066.8149747982,0.0373147737906012,3136.09053477165,0.572150325051506,FALSE
"CONSUMER AND WORKER PROTECTION",2025,343,343,85812.6588921283,86103.4242782951,85589.0543822162,149.107378725923,193.892621274077,86103.4242782951,85589.0543822162,0.00597386109077922,514.369896078962,0.565284610128503,FALSE
"CULTURAL AFFAIRS",2014,42,42,74373.0714285714,74725.9450798194,74151.8886781509,16.1825135834419,25.8174864165581,98282.8045296294,97527.7806479789,0.00768215645925077,574.056401668553,0.614702057537099,FALSE
"CULTURAL AFFAIRS",2015,43,43,79147.8604651163,81183.2115180291,77610.856274864,18.500730101604,24.499269898396,106261.063430508,101585.191904953,0.0440036206546445,3572.35524316512,0.569750462753396,FALSE
"CULTURAL AFFAIRS",2016,44,44,81230.0227272727,88064.3473041464,77156.6074341926,16.4314766424922,27.5685233575078,114606.113980161,100410.883820963,0.12386101985497,10907.7398699539,0.626557349034269,FALSE
"CULTURAL AFFAIRS",2017,48,48,83724.9375,88837.4361194512,80539.7649166933,18.4254449547131,29.5745550452869,113608.389992929,102997.040687795,0.0934028666878775,8297.67120275793,0.616136563443477,FALSE
"CULTURAL AFFAIRS",2018,48,48,78083.6041666667,83201.5013684826,74895.7076956039,18.4231678076322,29.5768321923678,104542.799606626,94106.5585624626,0.0998274494602452,8305.79367287872,0.616184004007663,FALSE
"CULTURAL AFFAIRS",2019,49,49,81219.5918367347,82059.0626734673,80622.5317693233,20.3656901628519,28.6343098371481,101311.31331812,99537.7513521486,0.0175060603587471,1436.53090414393,0.58437367014588,FALSE
"CULTURAL AFFAIRS",2020,48,48,93831.7083333333,90255.4989112941,96056.9245197972,18.4110568950012,29.5889431049988,109494.792948793,116532.87820092,-0.0642778077622169,-5801.42560850314,0.616436314687475,FALSE
"CULTURAL AFFAIRS",2021,49,49,91142.0612244898,92330.3290108722,90482.1833109424,17.4953834890021,31.5046165109979,109746.769379185,107550.004544897,0.020016669708956,1848.14569992987,0.642951357367305,FALSE
"CULTURAL AFFAIRS",2022,41,41,91871.0487804878,86969.7019140677,94275.2249363865,13.4926988924278,27.5073011075722,98407.8018627073,106674.134232044,-0.084000782589058,-7305.52302231878,0.670909783111518,FALSE
"CULTURAL AFFAIRS",2023,49,49,91684.5714285714,94952.3911316162,89402.8946759277,20.1463613450805,28.8536386549195,102042.979361112,96079.0731809357,0.0584450416629972,5549.49645568851,0.588849768467744,FALSE
"CULTURAL AFFAIRS",2024,47,47,98981.5744680851,99294.1343875583,98703.533054395,22.1265102356687,24.8734897643313,103170.634702173,102556.975952095,0.0059479982055948,590.601333163286,0.529223186475135,FALSE
"CULTURAL AFFAIRS",2025,47,47,101029.404255319,101405.545271768,100747.102741978,20.1508416099369,26.8491583900631,101405.545271768,100747.102741978,0.00649316098074943,658.442529790264,0.571258689150279,FALSE
"CUNY CENTRAL OFFICE",2016,11,11,,,,5.55668903513767,5.44331096486233,,,,,,TRUE
"CUNY CENTRAL OFFICE",2017,17,17,,,,10.4924084664785,6.50759153352149,,,,,,TRUE
"CUNY CENTRAL OFFICE",2018,25,25,,,,10.993675210654,14.006324789346,,,,,,TRUE
"CUNY CENTRAL OFFICE",2019,75,75,74384.96,76213.2262436389,73295.1154043968,28.0107059577868,46.9892940422132,94093.9585634653,90491.2164421244,0.0382887719503363,2918.11083924207,0.626523920562843,FALSE
"CUNY CENTRAL OFFICE",2020,81,81,80235.4074074074,79189.4902871562,80814.2700739981,28.8579882477377,52.1420117522623,96069.9009733979,98041.0265944804,-0.0205176189536028,-1624.7797868419,0.643728540151386,FALSE
"CUNY CENTRAL OFFICE",2021,79,79,83469.7341772152,82845.3366481102,83809.1180284777,27.8188858966267,51.1811141033733,98472.605401314,99618.1866422375,-0.0116335018887213,-963.781380367538,0.647862203840168,FALSE
"CUNY CENTRAL OFFICE",2022,67,67,92164.0597014925,88662.8406301995,94319.2275161797,25.5279998512721,41.4720001487279,100323.619160412,106723.923952584,-0.0637965899330056,-5656.38688598026,0.618985076846685,FALSE
"CUNY CENTRAL OFFICE",2023,73,73,96558.3424657534,93175.4985009183,98739.6518038597,28.6181154637812,44.3818845362188,100133.396928481,106113.054458823,-0.0597169147733244,-5564.15330294135,0.607971021044094,FALSE
"CUNY CENTRAL OFFICE",2024,70,70,99538.5285714286,97413.2488933913,100935.103765295,27.7581749181541,42.2418250818459,101216.318352751,104875.668471511,-0.0361537564131365,-3521.85487190391,0.60345464402637,FALSE
"CUNY CENTRAL OFFICE",2025,69,69,102738.507246377,104250.140442758,101943.755496356,23.7765472919032,45.2234527080968,104250.140442758,101943.755496356,0.02212356680391,2306.38494640235,0.655412358088359,FALSE
"DEPARTMENT FOR THE AGING",2014,249,249,65137.9116465863,67289.1509267196,64426.6851055675,61.8681304087728,187.131869591227,88501.6102564025,84736.7710366037,0.0425397821451098,2862.46582115207,0.751533612816173,FALSE
"DEPARTMENT FOR THE AGING",2015,248,248,68691.0120967742,70416.3748387646,68079.9123776898,64.8641837212374,183.135816278763,92168.3034382878,89110.0974233147,0.0331806695022944,2336.46246107473,0.738450872091785,FALSE
"DEPARTMENT FOR THE AGING",2016,250,250,70752.708,73307.7576442232,69868.4368226205,64.2765841896241,185.723415810376,95402.0268745952,90926.127079033,0.0469161918482682,3439.32082160273,0.742893663241504,FALSE
"DEPARTMENT FOR THE AGING",2017,264,264,74728.7840909091,80340.9023209314,72776.7119626979,68.1298351100885,195.870164889912,102742.728313179,93069.3797144705,0.0941511750517499,7564.19035823355,0.741932442764816,FALSE
"DEPARTMENT FOR THE AGING",2018,265,265,75394.7773584906,79263.3314116919,74022.9032268517,69.3734618739738,195.626538126026,99594.4837008075,93009.8785606389,0.0661141550765954,5240.42818484017,0.738213351418967,FALSE
"DEPARTMENT FOR THE AGING",2019,265,265,78380.1660377358,82670.1716573194,76908.3862472996,67.6911090418887,197.308890958111,102065.797365554,94952.213223494,0.0696960620077499,5761.78541001986,0.744561852672118,FALSE
"DEPARTMENT FOR THE AGING",2020,276,276,80480.2101449275,87639.5030122372,77592.304974219,79.3317524049477,196.668247595052,106321.15884586,94132.2519963224,0.114642343836834,10047.1980380182,0.712566114474827,FALSE
"DEPARTMENT FOR THE AGING",2021,264,264,81884.9507575758,88556.7047085928,79152.5911410818,76.7050433383193,187.294956661681,105261.319360079,94083.2904938783,0.10619312900651,9404.11356751103,0.709450593415457,FALSE
"DEPARTMENT FOR THE AGING",2022,239,239,83610.2674476987,89114.0753316372,81152.1500829456,73.7874360566903,165.21256394331,100834.199444297,91825.1359994996,0.0893453163157601,7961.92524869161,0.691265957921798,FALSE
"DEPARTMENT FOR THE AGING",2023,250,250,88302.076,95341.9483736276,85276.206595668,75.1526681063294,174.847331893671,102461.626865749,91644.2238676625,0.10557516339517,10065.7417779596,0.699389327574682,FALSE
"DEPARTMENT FOR THE AGING",2024,261,261,96200.3344827586,105162.067929274,92107.0514479865,81.8342032433948,179.165796756605,109267.655756066,95702.9638965786,0.124141876803596,13055.0164812873,0.686458991404618,FALSE
"DEPARTMENT FOR THE AGING",2025,265,265,99898.2879245283,108525.397972188,96045.3907504069,81.8122724608878,183.187727539112,108525.397972188,96045.3907504069,0.114996189417147,12480.007221781,0.691274443543819,FALSE
"DEPARTMENT OF BUILDINGS",2014,902,902,68280.1841796009,72754.0487826857,60575.8745059876,570.634576883659,331.365423116341,95689.2809801197,79672.0178904928,0.167388268838122,12178.1742766981,0.367367431392839,FALSE
"DEPARTMENT OF BUILDINGS",2015,952,952,71786.9168172269,75784.8883436926,64857.2852866651,603.70139569192,348.298604308081,99195.1744305496,84891.9866177794,0.144192375232773,10927.6030570275,0.365859878474875,FALSE
"DEPARTMENT OF BUILDINGS",2016,1110,1110,73400.8894144144,76671.0409108602,67182.7528511337,727.436977228579,382.563022771423,99778.9721107022,87431.0031977662,0.123753218255611,9488.28805972653,0.344651371866146,FALSE
"DEPARTMENT OF BUILDINGS",2017,1272,1272,73611.5716666667,77031.1648794313,67465.5575031851,817.27481679438,454.72518320562,98510.1214477292,86277.2914518415,0.124178407417545,9565.60737624613,0.357488351576745,FALSE
"DEPARTMENT OF BUILDINGS",2018,1307,1307,73508.2913542463,76553.7258524189,67935.3835426272,845.149826726044,461.850173273956,96189.8606310683,85360.9017996217,0.112579005317209,8618.34230979164,0.35336662071458,FALSE
"DEPARTMENT OF BUILDINGS",2019,1371,1371,76076.917432531,79680.3047850548,69606.5524742625,880.592462878256,490.407537121744,98374.4642012842,85937.2629538247,0.126427130744131,10073.7523107923,0.357700610592082,FALSE
"DEPARTMENT OF BUILDINGS",2020,1428,1428,76949.9599439773,80837.349647107,70110.497350116,910.495671388506,517.504328611496,98069.0259198335,85055.5864572062,0.132696734168288,10726.8522969911,0.362397989223736,FALSE
"DEPARTMENT OF BUILDINGS",2021,1390,1390,77207.8020143884,80588.3949415741,71168.6479827418,891.151762427955,498.848237572047,95789.9326152102,84593.3214022305,0.116887139465446,9419.74695883223,0.358883624152551,FALSE
"DEPARTMENT OF BUILDINGS",2022,1294,1294,78036.9735703246,80422.9775091828,73735.6669136753,832.30631121624,461.693688783761,91000.0639504604,83433.2502027562,0.0831517409902411,6687.31059550756,0.356795740945719,FALSE
"DEPARTMENT OF BUILDINGS",2023,1309,1309,81649.3420932009,83602.2709608015,78407.1491409699,816.926093680683,492.073906319318,89845.2867645017,84262.2182148669,0.0621409174670311,5195.12181983153,0.375915894819952,FALSE
"DEPARTMENT OF BUILDINGS",2024,1297,1297,89505.3813415575,92402.9445262542,85001.2065038401,789.26256871409,507.737431285911,96010.4088113981,88319.7026646373,0.0801028372024556,7401.73802241408,0.391470648639869,FALSE
"DEPARTMENT OF BUILDINGS",2025,1328,1328,91528.9476204819,94296.1428672272,87271.3140453819,804.879027108822,523.120972891178,94296.1428672272,87271.3140453819,0.0744975203464748,7024.82882184535,0.393916395249381,FALSE
"DEPARTMENT OF BUSINESS SERV.",2014,194,194,73064.5309278351,74703.0773968104,71838.735582854,83.0223179955815,110.977682004419,98252.7279609513,94485.421354037,0.0383430229887516,2864.34181395639,0.572049907239271,FALSE
"DEPARTMENT OF BUSINESS SERV.",2015,192,192,75839.765625,77226.971968302,74779.7514096736,83.1648494554711,108.835150544529,101082.724043842,97879.5462667337,0.0316886768476808,2447.22055862843,0.566849742419421,FALSE
"DEPARTMENT OF BUSINESS SERV.",2016,214,214,76937.0347663551,78356.9841606518,75957.0981539067,87.3818316680769,126.618168331923,101973.042812009,98849.8537162158,0.0306275953886221,2399.88600674512,0.591673683794033,FALSE
"DEPARTMENT OF BUSINESS SERV.",2017,239,239,78451.780083682,78799.0271552518,78227.9271358236,93.6803584627908,145.319641537209,100770.924951954,100040.582468354,0.00724755165191316,571.100019428195,0.608031972959034,FALSE
"DEPARTMENT OF BUSINESS SERV.",2018,232,232,77336.1656896552,78010.0851640875,76868.1192515256,95.087578754834,136.912421245166,98019.7780865324,96584.896364557,0.0146386958834858,1141.96591256191,0.590139746746405,FALSE
"DEPARTMENT OF BUSINESS SERV.",2019,255,255,80038.3781960784,81664.1801463278,78762.3255374704,112.132919048344,142.867080951656,100823.785601771,97241.1136591066,0.0355339954880804,2901.85460885739,0.560263062555515,FALSE
"DEPARTMENT OF BUSINESS SERV.",2020,260,260,86166.3730769231,88951.991906542,84191.7044790786,107.853536842659,152.146463157341,107913.424153382,102138.411079008,0.0535152426093486,4760.28742746341,0.58517870445131,FALSE
"DEPARTMENT OF BUSINESS SERV.",2021,239,239,87708.0125523013,89648.6755193461,86262.9625543988,102.007155678674,136.992844321326,106559.270640231,102534.904389955,0.0377664582921437,3385.71296494731,0.573191817244044,FALSE
"DEPARTMENT OF BUSINESS SERV.",2022,219,219,90408.3744292238,93330.1243929488,88152.5938092631,95.4153621666704,123.58463783333,105604.735752205,99746.2655884128,0.0554754492974504,5177.53058368577,0.564313414764062,FALSE
"DEPARTMENT OF BUSINESS SERV.",2023,216,216,92334.306712963,94386.9179577681,90720.428081901,95.0767071808556,120.923292819144,101435.279368299,97494.993649615,0.0388453183470581,3666.48987586716,0.559830059347891,FALSE
"DEPARTMENT OF BUSINESS SERV.",2024,259,259,98420.9073359074,101481.517105457,95960.0247289898,115.434116672542,143.565883327458,105443.414103838,99706.3594782358,0.054408847383796,5521.49237646688,0.554308429835743,FALSE
"DEPARTMENT OF BUSINESS SERV.",2025,253,253,101449.213438735,102367.275459137,100706.013373791,113.18479973118,139.81520026882,102367.275459137,100706.013373791,0.0162284487683702,1661.26208534624,0.552629250074389,FALSE
