"agency","fiscal_year","n","n_salaried","n_hourly","n_daily"
"DEPT OF YOUTH & COMM DEV SRVS",2014,417,376,39,0
"DEPT OF YOUTH & COMM DEV SRVS",2015,489,445,42,0
"DEPT OF YOUTH & COMM DEV SRVS",2016,511,472,38,0
"DEPT OF YOUTH & COMM DEV SRVS",2017,535,482,49,0
"DEPT OF YOUTH & COMM DEV SRVS",2018,532,478,49,0
"DEPT OF YOUTH & COMM DEV SRVS",2019,556,478,76,0
"DEPT OF YOUTH & COMM DEV SRVS",2020,579,545,33,0
"DEPT OF YOUTH & COMM DEV SRVS",2021,520,488,32,0
"DEPT OF YOUTH & COMM DEV SRVS",2022,476,447,27,0
"DEPT OF YOUTH & COMM DEV SRVS",2023,521,467,53,0
"DEPT OF YOUTH & COMM DEV SRVS",2024,591,528,63,0
"DEPT OF YOUTH & COMM DEV SRVS",2025,620,558,62,0
"DEPT. OF DESIGN & CONSTRUCTION",2014,1227,1176,51,0
"DEPT. OF DESIGN & CONSTRUCTION",2015,1236,1176,60,0
"DEPT. OF DESIGN & CONSTRUCTION",2016,1375,1349,26,0
"DEPT. OF DESIGN & CONSTRUCTION",2017,1374,1322,52,0
"DEPT. OF DESIGN & CONSTRUCTION",2018,1372,1326,46,0
"DEPT. OF DESIGN & CONSTRUCTION",2019,1342,1284,58,0
"DEPT. OF DESIGN & CONSTRUCTION",2020,1254,1242,12,0
"DEPT. OF DESIGN & CONSTRUCTION",2021,1205,1195,10,0
"DEPT. OF DESIGN & CONSTRUCTION",2022,1117,1081,36,0
"DEPT. OF DESIGN & CONSTRUCTION",2023,1080,1035,45,0
"DEPT. OF DESIGN & CONSTRUCTION",2024,1107,1061,46,0
"DEPT. OF DESIGN & CONSTRUCTION",2025,1148,1101,47,0
"DEPT. OF HOMELESS SERVICES",2014,1844,1748,0,96
"DEPT. OF HOMELESS SERVICES",2015,1952,1851,2,99
"DEPT. OF HOMELESS SERVICES",2016,2374,2254,1,119
"DEPT. OF HOMELESS SERVICES",2017,2313,2181,8,124
"DEPT. OF HOMELESS SERVICES",2018,2353,2230,2,121
"DEPT. OF HOMELESS SERVICES",2019,2283,2161,1,121
"DEPT. OF HOMELESS SERVICES",2020,2097,1972,1,124
"DEPT. OF HOMELESS SERVICES",2021,1984,1845,21,118
"DEPT. OF HOMELESS SERVICES",2022,1828,1672,46,110
"DEPT. OF HOMELESS SERVICES",2023,1754,1631,17,106
"DEPT. OF HOMELESS SERVICES",2024,1764,1653,15,96
"DEPT. OF HOMELESS SERVICES",2025,1725,1621,15,89
"DISTRICT ATTORNEY KINGS COUNTY",2015,1062,1025,15,1
"DISTRICT ATTORNEY KINGS COUNTY",2016,1066,1041,12,0
"DISTRICT ATTORNEY KINGS COUNTY",2017,1071,1046,10,0
"DISTRICT ATTORNEY KINGS COUNTY",2018,1098,1074,11,0
"DISTRICT ATTORNEY KINGS COUNTY",2019,1108,1086,10,0
"DISTRICT ATTORNEY KINGS COUNTY",2020,1142,1122,11,0
"DISTRICT ATTORNEY KINGS COUNTY",2021,1137,1120,9,0
"DISTRICT ATTORNEY KINGS COUNTY",2022,1115,1101,8,0
"DISTRICT ATTORNEY KINGS COUNTY",2023,1161,1134,19,0
"DISTRICT ATTORNEY KINGS COUNTY",2024,1270,1247,14,0
"DISTRICT ATTORNEY KINGS COUNTY",2025,1301,1277,15,0
"DISTRICT ATTORNEY QNS COUNTY",2015,633,630,3,0
"DISTRICT ATTORNEY QNS COUNTY",2016,638,630,8,0
"DISTRICT ATTORNEY QNS COUNTY",2017,662,654,8,0
"DISTRICT ATTORNEY QNS COUNTY",2018,682,674,8,0
"DISTRICT ATTORNEY QNS COUNTY",2019,697,689,8,0
"DISTRICT ATTORNEY QNS COUNTY",2020,737,730,7,0
"DISTRICT ATTORNEY QNS COUNTY",2021,824,777,47,0
"DISTRICT ATTORNEY QNS COUNTY",2022,787,776,10,0
"DISTRICT ATTORNEY QNS COUNTY",2023,837,829,8,0
"DISTRICT ATTORNEY QNS COUNTY",2024,893,834,59,0
"DISTRICT ATTORNEY QNS COUNTY",2025,880,872,8,0
"DISTRICT ATTORNEY RICHMOND COU",2015,102,98,4,0
"DISTRICT ATTORNEY RICHMOND COU",2016,104,101,3,0
"DISTRICT ATTORNEY RICHMOND COU",2017,143,141,2,0
"DISTRICT ATTORNEY RICHMOND COU",2018,142,140,2,0
"DISTRICT ATTORNEY RICHMOND COU",2019,153,148,5,0
"DISTRICT ATTORNEY RICHMOND COU",2020,187,186,1,0
"DISTRICT ATTORNEY RICHMOND COU",2021,195,195,0,0
"DISTRICT ATTORNEY RICHMOND COU",2022,191,191,0,0
"DISTRICT ATTORNEY RICHMOND COU",2023,191,188,3,0
"DISTRICT ATTORNEY RICHMOND COU",2024,224,223,1,0
"DISTRICT ATTORNEY RICHMOND COU",2025,232,231,1,0
"DISTRICT ATTORNEY-MANHATTAN",2015,1374,1278,79,17
"DISTRICT ATTORNEY-MANHATTAN",2016,1428,1329,82,17
"DISTRICT ATTORNEY-MANHATTAN",2017,1462,1364,80,18
"DISTRICT ATTORNEY-MANHATTAN",2018,1535,1410,109,16
"DISTRICT ATTORNEY-MANHATTAN",2019,1503,1389,99,15
"DISTRICT ATTORNEY-MANHATTAN",2020,1555,1478,61,16
"DISTRICT ATTORNEY-MANHATTAN",2021,1550,1459,74,17
"DISTRICT ATTORNEY-MANHATTAN",2022,1574,1431,127,16
"DISTRICT ATTORNEY-MANHATTAN",2023,1576,1483,78,15
"DISTRICT ATTORNEY-MANHATTAN",2024,1620,1517,86,17
"DISTRICT ATTORNEY-MANHATTAN",2025,1707,1612,77,18
"DISTRICT ATTORNEY-SPECIAL NARC",2015,207,197,8,0
"DISTRICT ATTORNEY-SPECIAL NARC",2016,205,200,4,0
"DISTRICT ATTORNEY-SPECIAL NARC",2017,209,205,4,0
"DISTRICT ATTORNEY-SPECIAL NARC",2018,221,215,6,0
"DISTRICT ATTORNEY-SPECIAL NARC",2019,215,209,6,0
"DISTRICT ATTORNEY-SPECIAL NARC",2020,222,219,3,0
"DISTRICT ATTORNEY-SPECIAL NARC",2021,214,207,7,0
"DISTRICT ATTORNEY-SPECIAL NARC",2022,200,193,6,0
"DISTRICT ATTORNEY-SPECIAL NARC",2023,195,187,7,0
"DISTRICT ATTORNEY-SPECIAL NARC",2024,186,179,6,0
"DISTRICT ATTORNEY-SPECIAL NARC",2025,210,196,13,0
"DISTRICTING COMMISSION",2022,9,9,0,0
"DISTRICTING COMMISSION",2023,2,2,0,0
"DOE CUSTODIAL PAYROL",2014,776,0,776,0
"DOE CUSTODIAL PAYROL",2015,744,0,744,0
"DOE CUSTODIAL PAYROL",2016,726,0,726,0
"DOE CUSTODIAL PAYROL",2017,1328,0,1328,0
"DOE CUSTODIAL PAYROL",2018,1270,0,1270,0
"DOE CUSTODIAL PAYROL",2019,1263,0,1263,0
"DOE CUSTODIAL PAYROL",2020,1233,0,1233,0
"DOE CUSTODIAL PAYROL",2021,1301,0,1301,0
"DOE CUSTODIAL PAYROL",2022,1261,0,1261,0
"DOE CUSTODIAL PAYROL",2023,1325,0,1325,0
"DOE CUSTODIAL PAYROL",2024,1274,0,1274,0
"DOE CUSTODIAL PAYROL",2025,1220,0,1220,0
"EQUAL EMPLOY PRACTICES COMM",2014,6,5,1,0
"EQUAL EMPLOY PRACTICES COMM",2015,6,6,0,0
"EQUAL EMPLOY PRACTICES COMM",2016,11,10,1,0
"EQUAL EMPLOY PRACTICES COMM",2017,10,10,0,0
"EQUAL EMPLOY PRACTICES COMM",2018,11,11,0,0
"EQUAL EMPLOY PRACTICES COMM",2019,12,12,0,0
"EQUAL EMPLOY PRACTICES COMM",2020,13,13,0,0
"EQUAL EMPLOY PRACTICES COMM",2021,11,11,0,0
"EQUAL EMPLOY PRACTICES COMM",2022,11,11,0,0
"EQUAL EMPLOY PRACTICES COMM",2023,11,11,0,0
"EQUAL EMPLOY PRACTICES COMM",2024,12,12,0,0
"EQUAL EMPLOY PRACTICES COMM",2025,14,13,1,0
"FINANCIAL INFO SVCS AGENCY",2014,408,404,4,0
"FINANCIAL INFO SVCS AGENCY",2015,421,417,4,0
"FINANCIAL INFO SVCS AGENCY",2016,424,421,3,0
"FINANCIAL INFO SVCS AGENCY",2017,434,428,6,0
"FINANCIAL INFO SVCS AGENCY",2018,432,427,5,0
"FINANCIAL INFO SVCS AGENCY",2019,431,427,4,0
"FINANCIAL INFO SVCS AGENCY",2020,431,427,4,0
"FINANCIAL INFO SVCS AGENCY",2021,417,414,3,0
"FINANCIAL INFO SVCS AGENCY",2022,395,390,5,0
"FINANCIAL INFO SVCS AGENCY",2023,419,412,7,0
"FINANCIAL INFO SVCS AGENCY",2024,403,398,5,0
"FINANCIAL INFO SVCS AGENCY",2025,396,390,6,0
"FIRE DEPARTMENT",2014,15521,15130,117,267
"FIRE DEPARTMENT",2015,15962,15580,101,273
"FIRE DEPARTMENT",2016,16505,16090,106,301
"FIRE DEPARTMENT",2017,17266,16853,102,303
"FIRE DEPARTMENT",2018,17157,16754,93,302
"FIRE DEPARTMENT",2019,17339,16913,86,333
"FIRE DEPARTMENT",2020,17233,16801,90,335
"FIRE DEPARTMENT",2021,16861,16456,83,315
"FIRE DEPARTMENT",2022,16885,16474,82,322
"FIRE DEPARTMENT",2023,16946,16525,81,333
"FIRE DEPARTMENT",2024,17129,16637,167,319
"FIRE DEPARTMENT",2025,17390,16977,90,317
"GUTTMAN COMMUNITY COLLEGE",2014,272,98,163,11
"GUTTMAN COMMUNITY COLLEGE",2015,351,123,209,19
"GUTTMAN COMMUNITY COLLEGE",2016,409,155,228,26
"GUTTMAN COMMUNITY COLLEGE",2017,438,156,241,41
"GUTTMAN COMMUNITY COLLEGE",2018,381,167,181,33
"GUTTMAN COMMUNITY COLLEGE",2019,453,159,257,37
"GUTTMAN COMMUNITY COLLEGE",2020,502,157,319,26
"GUTTMAN COMMUNITY COLLEGE",2021,391,151,211,29
"GUTTMAN COMMUNITY COLLEGE",2022,349,143,176,30
"GUTTMAN COMMUNITY COLLEGE",2023,379,153,200,26
"GUTTMAN COMMUNITY COLLEGE",2024,351,159,167,25
"GUTTMAN COMMUNITY COLLEGE",2025,369,166,177,26
"HOUSING PRESERVATION & DVLPMNT",2014,1976,1934,37,1
"HOUSING PRESERVATION & DVLPMNT",2015,2092,2055,36,1
"HOUSING PRESERVATION & DVLPMNT",2016,2197,2163,33,1
"HOUSING PRESERVATION & DVLPMNT",2017,2247,2216,30,1
"HOUSING PRESERVATION & DVLPMNT",2018,2283,2253,29,1
"HOUSING PRESERVATION & DVLPMNT",2019,2342,2320,21,1
"HOUSING PRESERVATION & DVLPMNT",2020,2416,2395,20,1
"HOUSING PRESERVATION & DVLPMNT",2021,2321,2302,18,1
"HOUSING PRESERVATION & DVLPMNT",2022,2205,2189,15,1
"HOUSING PRESERVATION & DVLPMNT",2023,2338,2326,11,1
"HOUSING PRESERVATION & DVLPMNT",2024,2403,2389,14,0
"HOUSING PRESERVATION & DVLPMNT",2025,2392,2381,11,0
"HRA/DEPT OF SOCIAL SERVICES",2014,13477,13311,80,85
"HRA/DEPT OF SOCIAL SERVICES",2015,13536,13246,208,80
"HRA/DEPT OF SOCIAL SERVICES",2016,13280,13058,141,78
"HRA/DEPT OF SOCIAL SERVICES",2017,13261,13082,99,77
"HRA/DEPT OF SOCIAL SERVICES",2018,12933,12820,35,76
"HRA/DEPT OF SOCIAL SERVICES",2019,12547,12409,65,72
"HRA/DEPT OF SOCIAL SERVICES",2020,12463,12194,197,72
"HRA/DEPT OF SOCIAL SERVICES",2021,11820,11588,161,71
"HRA/DEPT OF SOCIAL SERVICES",2022,10763,10542,157,64
"HRA/DEPT OF SOCIAL SERVICES",2023,10652,10485,101,66
"HRA/DEPT OF SOCIAL SERVICES",2024,10919,10812,42,65
"HRA/DEPT OF SOCIAL SERVICES",2025,10733,10640,38,55
"HUMAN RIGHTS COMMISSION",2014,64,61,3,0
"HUMAN RIGHTS COMMISSION",2015,65,63,2,0
"HUMAN RIGHTS COMMISSION",2016,88,87,1,0
"HUMAN RIGHTS COMMISSION",2017,109,106,3,0
"HUMAN RIGHTS COMMISSION",2018,144,138,6,0
"HUMAN RIGHTS COMMISSION",2019,130,125,5,0
"HUMAN RIGHTS COMMISSION",2020,132,127,5,0
"HUMAN RIGHTS COMMISSION",2021,122,118,4,0
"HUMAN RIGHTS COMMISSION",2022,102,98,4,0
"HUMAN RIGHTS COMMISSION",2023,103,99,4,0
"HUMAN RIGHTS COMMISSION",2024,106,103,3,0
"HUMAN RIGHTS COMMISSION",2025,105,102,3,0
"HUNTER COLLEGE HIGH SCHOOL",2014,255,172,76,7
"HUNTER COLLEGE HIGH SCHOOL",2015,237,169,63,5
"HUNTER COLLEGE HIGH SCHOOL",2016,249,169,73,7
"HUNTER COLLEGE HIGH SCHOOL",2017,321,174,141,6
"HUNTER COLLEGE HIGH SCHOOL",2018,313,175,132,6
"HUNTER COLLEGE HIGH SCHOOL",2019,253,171,81,1
"HUNTER COLLEGE HIGH SCHOOL",2020,239,174,61,4
"HUNTER COLLEGE HIGH SCHOOL",2021,269,171,63,35
"HUNTER COLLEGE HIGH SCHOOL",2022,233,162,57,14
"HUNTER COLLEGE HIGH SCHOOL",2023,229,166,50,13
"HUNTER COLLEGE HIGH SCHOOL",2024,225,162,51,12
"HUNTER COLLEGE HIGH SCHOOL",2025,236,162,57,17
"INDEPENDENT BUDGET OFFICE",2014,35,34,1,0
"INDEPENDENT BUDGET OFFICE",2015,36,34,2,0
"INDEPENDENT BUDGET OFFICE",2016,36,35,1,0
"INDEPENDENT BUDGET OFFICE",2017,36,35,1,0
"INDEPENDENT BUDGET OFFICE",2018,34,31,3,0
"INDEPENDENT BUDGET OFFICE",2019,35,34,1,0
"INDEPENDENT BUDGET OFFICE",2020,38,36,2,0
"INDEPENDENT BUDGET OFFICE",2021,38,36,2,0
"INDEPENDENT BUDGET OFFICE",2022,29,28,1,0
"INDEPENDENT BUDGET OFFICE",2023,34,31,3,0
"INDEPENDENT BUDGET OFFICE",2024,52,44,8,0
"INDEPENDENT BUDGET OFFICE",2025,65,47,18,0
"KINGS DA",2014,1037,990,20,1
"LANDMARKS PRESERVATION COMM",2014,64,58,6,0
"LANDMARKS PRESERVATION COMM",2015,73,68,5,0
"LANDMARKS PRESERVATION COMM",2016,73,67,6,0
"LANDMARKS PRESERVATION COMM",2017,68,63,5,0
"LANDMARKS PRESERVATION COMM",2018,72,67,5,0
"LANDMARKS PRESERVATION COMM",2019,75,70,5,0
"LANDMARKS PRESERVATION COMM",2020,77,71,6,0
"LANDMARKS PRESERVATION COMM",2021,72,69,3,0
"LANDMARKS PRESERVATION COMM",2022,78,65,13,0
"LANDMARKS PRESERVATION COMM",2023,77,71,6,0
"LANDMARKS PRESERVATION COMM",2024,75,69,6,0
"LANDMARKS PRESERVATION COMM",2025,70,66,4,0
"LAW DEPARTMENT",2014,1527,1334,193,0
"LAW DEPARTMENT",2015,1545,1348,197,0
"LAW DEPARTMENT",2016,1573,1411,162,0
"LAW DEPARTMENT",2017,1807,1586,220,1
"LAW DEPARTMENT",2018,1773,1565,207,1
"LAW DEPARTMENT",2019,1900,1694,206,0
"LAW DEPARTMENT",2020,1869,1704,165,0
"LAW DEPARTMENT",2021,1770,1605,165,0
"LAW DEPARTMENT",2022,1557,1403,154,0
"LAW DEPARTMENT",2023,1495,1351,143,1
"LAW DEPARTMENT",2024,1528,1383,144,1
"LAW DEPARTMENT",2025,1495,1346,149,0
"MANHATTAN COMMUNITY BOARD #1",2014,4,3,1,0
"MANHATTAN COMMUNITY BOARD #1",2015,4,3,1,0
"MANHATTAN COMMUNITY BOARD #1",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2017,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2019,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2022,2,2,0,0
"MANHATTAN COMMUNITY BOARD #1",2023,2,2,0,0
"MANHATTAN COMMUNITY BOARD #1",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #1",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2014,2,2,0,0
"MANHATTAN COMMUNITY BOARD #10",2015,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2017,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2019,2,2,0,0
"MANHATTAN COMMUNITY BOARD #10",2020,2,2,0,0
"MANHATTAN COMMUNITY BOARD #10",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2023,4,4,0,0
"MANHATTAN COMMUNITY BOARD #10",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #10",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2014,2,2,0,0
"MANHATTAN COMMUNITY BOARD #11",2015,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2017,4,3,1,0
"MANHATTAN COMMUNITY BOARD #11",2018,3,2,1,0
"MANHATTAN COMMUNITY BOARD #11",2019,1,1,0,0
"MANHATTAN COMMUNITY BOARD #11",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2022,2,2,0,0
"MANHATTAN COMMUNITY BOARD #11",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #11",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2014,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2015,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2017,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2019,2,2,0,0
"MANHATTAN COMMUNITY BOARD #12",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #12",2024,2,2,0,0
"MANHATTAN COMMUNITY BOARD #12",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #2",2014,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2015,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2016,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2017,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2018,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2019,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2020,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2021,4,4,0,0
"MANHATTAN COMMUNITY BOARD #2",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #2",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #2",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #2",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #3",2014,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2015,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2016,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2017,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #3",2019,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2020,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #3",2022,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2023,4,4,0,0
"MANHATTAN COMMUNITY BOARD #3",2024,2,2,0,0
"MANHATTAN COMMUNITY BOARD #3",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2014,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2015,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2017,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2019,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #4",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2014,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2015,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2016,2,2,0,0
"MANHATTAN COMMUNITY BOARD #5",2017,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2018,2,2,0,0
"MANHATTAN COMMUNITY BOARD #5",2019,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2021,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #5",2025,2,2,0,0
"MANHATTAN COMMUNITY BOARD #6",2014,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2015,2,2,0,0
"MANHATTAN COMMUNITY BOARD #6",2016,2,2,0,0
"MANHATTAN COMMUNITY BOARD #6",2017,1,1,0,0
"MANHATTAN COMMUNITY BOARD #6",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2019,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2021,2,2,0,0
"MANHATTAN COMMUNITY BOARD #6",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #6",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2014,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2015,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2017,2,2,0,0
"MANHATTAN COMMUNITY BOARD #7",2018,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2019,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2020,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2021,2,2,0,0
"MANHATTAN COMMUNITY BOARD #7",2022,2,2,0,0
"MANHATTAN COMMUNITY BOARD #7",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #7",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #8",2014,4,4,0,0
"MANHATTAN COMMUNITY BOARD #8",2015,4,4,0,0
"MANHATTAN COMMUNITY BOARD #8",2016,3,3,0,0
"MANHATTAN COMMUNITY BOARD #8",2017,3,3,0,0
"MANHATTAN COMMUNITY BOARD #8",2018,2,2,0,0
"MANHATTAN COMMUNITY BOARD #8",2019,4,3,1,0
"MANHATTAN COMMUNITY BOARD #8",2020,2,1,1,0
"MANHATTAN COMMUNITY BOARD #8",2021,2,2,0,0
"MANHATTAN COMMUNITY BOARD #8",2022,3,3,0,0
"MANHATTAN COMMUNITY BOARD #8",2023,4,4,0,0
"MANHATTAN COMMUNITY BOARD #8",2024,3,3,0,0
"MANHATTAN COMMUNITY BOARD #8",2025,3,3,0,0
"MANHATTAN COMMUNITY BOARD #9",2014,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2015,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2016,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2017,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2018,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2019,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2020,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2021,3,2,1,0
"MANHATTAN COMMUNITY BOARD #9",2022,2,2,0,0
"MANHATTAN COMMUNITY BOARD #9",2023,3,3,0,0
"MANHATTAN COMMUNITY BOARD #9",2024,2,2,0,0
"MANHATTAN COMMUNITY BOARD #9",2025,3,3,0,0
"MANHATTAN DA",2014,1331,1231,85,15
"MAYORS OFFICE OF CONTRACT SVCS",2017,99,99,0,0
"MAYORS OFFICE OF CONTRACT SVCS",2018,153,152,1,0
"MAYORS OFFICE OF CONTRACT SVCS",2019,169,168,1,0
"MAYORS OFFICE OF CONTRACT SVCS",2020,184,184,0,0
"MAYORS OFFICE OF CONTRACT SVCS",2021,158,157,1,0
"MAYORS OFFICE OF CONTRACT SVCS",2022,167,163,4,0
"MAYORS OFFICE OF CONTRACT SVCS",2023,178,176,2,0
"MAYORS OFFICE OF CONTRACT SVCS",2024,186,182,4,0
"MAYORS OFFICE OF CONTRACT SVCS",2025,188,180,8,0
"MUNICIPAL WATER FIN AUTHORITY",2014,15,15,0,0
"MUNICIPAL WATER FIN AUTHORITY",2015,14,14,0,0
"MUNICIPAL WATER FIN AUTHORITY",2016,12,12,0,0
"MUNICIPAL WATER FIN AUTHORITY",2017,13,13,0,0
"MUNICIPAL WATER FIN AUTHORITY",2018,13,13,0,0
"MUNICIPAL WATER FIN AUTHORITY",2019,13,13,0,0
"MUNICIPAL WATER FIN AUTHORITY",2020,12,12,0,0
"MUNICIPAL WATER FIN AUTHORITY",2021,11,11,0,0
"MUNICIPAL WATER FIN AUTHORITY",2022,11,11,0,0
"MUNICIPAL WATER FIN AUTHORITY",2023,8,8,0,0
"MUNICIPAL WATER FIN AUTHORITY",2024,9,9,0,0
"MUNICIPAL WATER FIN AUTHORITY",2025,11,11,0,0
"NYC DEPT OF VETERANS' SERVICES",2017,32,32,0,0
"NYC DEPT OF VETERANS' SERVICES",2018,35,34,1,0
"NYC DEPT OF VETERANS' SERVICES",2019,38,38,0,0
"NYC DEPT OF VETERANS' SERVICES",2020,38,38,0,0
"NYC DEPT OF VETERANS' SERVICES",2021,36,36,0,0
"NYC DEPT OF VETERANS' SERVICES",2022,32,31,1,0
"NYC DEPT OF VETERANS' SERVICES",2023,33,30,3,0
"NYC DEPT OF VETERANS' SERVICES",2024,36,34,2,0
"NYC DEPT OF VETERANS' SERVICES",2025,36,35,1,0
"NYC EMPLOYEES RETIREMENT SYS",2014,409,380,29,0
"NYC EMPLOYEES RETIREMENT SYS",2015,413,376,37,0
"NYC EMPLOYEES RETIREMENT SYS",2016,434,396,38,0
"NYC EMPLOYEES RETIREMENT SYS",2017,441,404,37,0
"NYC EMPLOYEES RETIREMENT SYS",2018,442,406,36,0
"NYC EMPLOYEES RETIREMENT SYS",2019,432,402,30,0
"NYC EMPLOYEES RETIREMENT SYS",2020,463,421,42,0
"NYC EMPLOYEES RETIREMENT SYS",2021,472,434,38,0
"NYC EMPLOYEES RETIREMENT SYS",2022,489,451,38,0
"NYC EMPLOYEES RETIREMENT SYS",2023,507,470,37,0
