"title","n","median_tenure","pct_over_20","pct_over_25","pct_under_5","suppressed"
"ADMINISTRATIVE MANAGER",119,19.9726214921287,0.495798319327731,0.319327731092437,0.092436974789916,FALSE
"ADMINISTRATIVE NUTRITIONIST",5,,,,,TRUE
"ADMINISTRATIVE PARKS & RECREATION MANAGER",99,20.5256673511294,0.555555555555556,0.242424242424242,0.0606060606060606,FALSE
"ADMINISTRATIVE PRINTING SERVICES MANAGER",12,,,,,TRUE
"ADMINISTRATIVE PROBATION OFFICER",22,,,,,TRUE
"ADMINISTRATIVE PROCUREMENT ANALYST",65,10.2258726899384,0.276923076923077,0.2,0.230769230769231,FALSE
"ADMINISTRATIVE PROCUREMENT ANALYST NON MGRL",279,12.0355920602327,0.344086021505376,0.225806451612903,0.186379928315412,FALSE
"ADMINISTRATIVE PROGRAM OFFICER",41,3.46885694729637,0.0975609756097561,0.048780487804878,0.585365853658537,FALSE
"ADMINISTRATIVE PROJECT DIRECTOR",24,,,,,TRUE
"ADMINISTRATIVE PROJECT MANAGER",430,13.741273100616,0.283720930232558,0.190697674418605,0.0744186046511628,FALSE
"ADMINISTRATIVE PSYCHOLOGIST",8,,,,,TRUE
"ADMINISTRATIVE PUBLIC HEALTH NURSE",41,7.83846680355921,0.268292682926829,0.219512195121951,0.317073170731707,FALSE
"ADMINISTRATIVE PUBLIC HEALTH SANITARIAN",37,16.2327173169062,0.405405405405405,0.243243243243243,0.135135135135135,FALSE
"ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST",43,9.12525667351129,0.0232558139534884,0,0.255813953488372,FALSE
"ADMINISTRATIVE PUBLIC INFORMATION SPECIALIST NM FORMER M1/M2",26,,,,,TRUE
"ADMINISTRATIVE PUBLIC RECORDS OFFICER",13,,,,,TRUE
"ADMINISTRATIVE QUALITY ASSURANCE SPECIALIST",72,12.9555099247091,0.319444444444444,0.180555555555556,0.0277777777777778,FALSE
"ADMINISTRATIVE REAL PROPERTY MANAGER",40,5.09787816563997,0.2,0.175,0.475,FALSE
"ADMINISTRATIVE RETIREMENT BENEFITS SPECIALIST",73,17.8617385352498,0.47945205479452,0.356164383561644,0.205479452054795,FALSE
"ADMINISTRATIVE RETIREMENTS BENEFITS SPECIALIST",27,,,,,TRUE
"ADMINISTRATIVE SCHOOL FOOD SERVICE MANAGER",19,,,,,TRUE
"ADMINISTRATIVE SPACE ANALYST",58,3.62217659137577,0.206896551724138,0.137931034482759,0.517241379310345,FALSE
"ADMINISTRATIVE STAFF ANALYST",1887,13.2539356605065,0.303656597774245,0.203497615262321,0.135665076841547,FALSE
"ADMINISTRATIVE STOREKEEPER",23,,,,,TRUE
"ADMINISTRATIVE SUPERINTENDENT OF BRIDGE OPERATIONS",2,,,,,TRUE
"ADMINISTRATIVE SUPERINTENDENT OF HIGHWAY OPERATIONS",21,,,,,TRUE
"ADMINISTRATIVE SUPERVISOR OF BUILDING MAINTENANCE",67,8.3750855578371,0.26865671641791,0.17910447761194,0.313432835820896,FALSE
"ADMINISTRATIVE SUPERVISOR OF SKILLED TRADES",5,,,,,TRUE
