"agency","fiscal_year","active","ceased","n","separation_rate","suppressed"
"DEPARTMENT OF JUVENILE JUSTICE",2014,0,1,1,,TRUE
"DEPARTMENT OF JUVENILE JUSTICE",2015,0,5,5,,TRUE
"DEPARTMENT OF JUVENILE JUSTICE",2016,0,81,81,1,FALSE
"DEPARTMENT OF JUVENILE JUSTICE",2020,0,1,1,,TRUE
"DEPARTMENT OF JUVENILE JUSTICE",2021,0,1,1,,TRUE
"DEPARTMENT OF PROBATION",2014,958,92,1050,0.0876190476190476,FALSE
"DEPARTMENT OF PROBATION",2015,944,185,1129,0.163861824623561,FALSE
"DEPARTMENT OF PROBATION",2016,929,101,1030,0.0980582524271845,FALSE
"DEPARTMENT OF PROBATION",2017,973,110,1083,0.101569713758079,FALSE
"DEPARTMENT OF PROBATION",2018,1056,106,1162,0.0912220309810671,FALSE
"DEPARTMENT OF PROBATION",2019,1149,233,1382,0.168596237337192,FALSE
"DEPARTMENT OF PROBATION",2020,1113,271,1384,0.195809248554913,FALSE
"DEPARTMENT OF PROBATION",2021,1051,108,1159,0.093183779119931,FALSE
"DEPARTMENT OF PROBATION",2022,950,233,1183,0.196956889264582,FALSE
"DEPARTMENT OF PROBATION",2023,1009,289,1298,0.222650231124807,FALSE
"DEPARTMENT OF PROBATION",2024,869,251,1120,0.224107142857143,FALSE
"DEPARTMENT OF PROBATION",2025,866,363,1229,0.295362082994304,FALSE
"DEPARTMENT OF SANITATION",2014,9084,4269,13353,0.319703437429791,FALSE
"DEPARTMENT OF SANITATION",2015,9440,3621,13061,0.277237577520864,FALSE
"DEPARTMENT OF SANITATION",2016,14789,1993,16782,0.118758193302348,FALSE
"DEPARTMENT OF SANITATION",2017,10016,2451,12467,0.19659902141654,FALSE
"DEPARTMENT OF SANITATION",2018,10077,2370,12447,0.190407327066763,FALSE
"DEPARTMENT OF SANITATION",2019,10385,1665,12050,0.138174273858921,FALSE
"DEPARTMENT OF SANITATION",2020,9861,1773,11634,0.152398143372873,FALSE
"DEPARTMENT OF SANITATION",2021,10647,1339,11986,0.111713665943601,FALSE
"DEPARTMENT OF SANITATION",2022,9816,2596,12412,0.20915243312923,FALSE
"DEPARTMENT OF SANITATION",2023,10008,1307,11315,0.115510384445426,FALSE
"DEPARTMENT OF SANITATION",2024,9956,1974,11930,0.165465213746857,FALSE
"DEPARTMENT OF SANITATION",2025,9836,1197,11033,0.108492703707061,FALSE
"DEPARTMENT OF TRANSPORTATION",2014,4745,357,5102,0.0699725597804782,FALSE
"DEPARTMENT OF TRANSPORTATION",2015,4809,740,5549,0.13335736168679,FALSE
"DEPARTMENT OF TRANSPORTATION",2016,5251,631,5882,0.107276436586195,FALSE
"DEPARTMENT OF TRANSPORTATION",2017,5485,651,6136,0.10609517601043,FALSE
"DEPARTMENT OF TRANSPORTATION",2018,5539,717,6256,0.114609974424552,FALSE
"DEPARTMENT OF TRANSPORTATION",2019,5684,720,6404,0.112429731417864,FALSE
"DEPARTMENT OF TRANSPORTATION",2020,5793,765,6558,0.116651418115279,FALSE
"DEPARTMENT OF TRANSPORTATION",2021,5587,488,6075,0.0803292181069959,FALSE
"DEPARTMENT OF TRANSPORTATION",2022,5473,729,6202,0.117542728152209,FALSE
"DEPARTMENT OF TRANSPORTATION",2023,5734,895,6629,0.135012822446825,FALSE
"DEPARTMENT OF TRANSPORTATION",2024,5955,892,6847,0.130276033299255,FALSE
"DEPARTMENT OF TRANSPORTATION",2025,5915,644,6559,0.0981856990394877,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2014,1977,248,2225,0.111460674157303,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2015,1993,453,2446,0.185200327064595,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2016,2153,394,2547,0.154691794267766,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2017,2309,340,2649,0.128350320875802,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2018,2409,385,2794,0.137795275590551,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2019,2450,465,2915,0.159519725557461,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2020,2484,481,2965,0.162225969645868,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2021,2245,290,2535,0.11439842209073,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2022,2063,489,2552,0.191614420062696,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2023,2086,570,2656,0.21460843373494,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2024,2100,586,2686,0.218168279970216,FALSE
"DEPT OF CITYWIDE ADMIN SVCS",2025,2117,322,2439,0.132021320213202,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2014,20534,2233,22767,0.0980805551895287,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2015,22326,5397,27723,0.194675900876529,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2016,19098,4222,23320,0.181046312178388,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2017,19104,2915,22019,0.13238566692402,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2018,19236,3404,22640,0.150353356890459,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2019,19032,3392,22424,0.15126650017838,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2020,17457,3670,21127,0.173711364604534,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2021,15684,2506,18190,0.137768004398021,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2022,17856,4169,22025,0.189284903518729,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2023,19459,7152,26611,0.26876103866822,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2024,18471,4789,23260,0.205889939810834,FALSE
"DEPT OF ED HRLY SUPPORT STAFF",2025,18641,4155,22796,0.182268819091069,FALSE
"DEPT OF ED PARA PROFESSIONALS",2014,25437,1567,27004,0.0580284402310769,FALSE
"DEPT OF ED PARA PROFESSIONALS",2015,27795,3698,31493,0.11742291937891,FALSE
"DEPT OF ED PARA PROFESSIONALS",2016,29959,2005,31964,0.0627268176698786,FALSE
"DEPT OF ED PARA PROFESSIONALS",2017,31700,2073,33773,0.0613803926213247,FALSE
"DEPT OF ED PARA PROFESSIONALS",2018,33001,2435,35436,0.0687154306355119,FALSE
"DEPT OF ED PARA PROFESSIONALS",2019,33823,6367,40190,0.158422493157502,FALSE
"DEPT OF ED PARA PROFESSIONALS",2020,33735,6948,40683,0.170783865496645,FALSE
"DEPT OF ED PARA PROFESSIONALS",2021,31761,7151,38912,0.183773643092105,FALSE
"DEPT OF ED PARA PROFESSIONALS",2022,35558,9747,45305,0.215141816576537,FALSE
"DEPT OF ED PARA PROFESSIONALS",2023,34043,4482,38525,0.116340038935756,FALSE
"DEPT OF ED PARA PROFESSIONALS",2024,36503,3810,40313,0.0945104556842706,FALSE
"DEPT OF ED PARA PROFESSIONALS",2025,38664,3344,42008,0.0796038849742906,FALSE
"DEPT OF ED PEDAGOGICAL",2014,87176,11557,98733,0.117053062299333,FALSE
"DEPT OF ED PEDAGOGICAL",2015,89681,20119,109800,0.183233151183971,FALSE
"DEPT OF ED PEDAGOGICAL",2016,91613,13006,104619,0.124317762547912,FALSE
"DEPT OF ED PEDAGOGICAL",2017,93356,9618,102974,0.0934022180356206,FALSE
"DEPT OF ED PEDAGOGICAL",2018,94686,11843,106529,0.111171605853805,FALSE
"DEPT OF ED PEDAGOGICAL",2019,94969,15572,110541,0.140870808116445,FALSE
"DEPT OF ED PEDAGOGICAL",2020,95470,17879,113349,0.157734077936285,FALSE
"DEPT OF ED PEDAGOGICAL",2021,94087,18197,112284,0.162062270670799,FALSE
"DEPT OF ED PEDAGOGICAL",2022,93986,23787,117773,0.201973287595629,FALSE
"DEPT OF ED PEDAGOGICAL",2023,93524,12055,105579,0.114179903200447,FALSE
"DEPT OF ED PEDAGOGICAL",2024,94281,12525,106806,0.117268692770069,FALSE
"DEPT OF ED PEDAGOGICAL",2025,96161,10367,106528,0.097317137278462,FALSE
"DEPT OF ED PER DIEM TEACHERS",2014,13574,115,13689,0.00840090583680327,FALSE
"DEPT OF ED PER DIEM TEACHERS",2015,13511,3865,17376,0.222433241252302,FALSE
"DEPT OF ED PER DIEM TEACHERS",2016,11965,319,12284,0.0259687398241615,FALSE
"DEPT OF ED PER DIEM TEACHERS",2017,11720,103,11823,0.00871183286813837,FALSE
"DEPT OF ED PER DIEM TEACHERS",2018,12210,192,12402,0.01548137397194,FALSE
"DEPT OF ED PER DIEM TEACHERS",2019,11771,116,11887,0.0097585597711786,FALSE
"DEPT OF ED PER DIEM TEACHERS",2020,11221,102,11323,0.00900821337101475,FALSE
"DEPT OF ED PER DIEM TEACHERS",2021,12028,118,12146,0.00971513255392722,FALSE
"DEPT OF ED PER DIEM TEACHERS",2022,16649,128,16777,0.00762949275794242,FALSE
"DEPT OF ED PER DIEM TEACHERS",2023,14883,137,15020,0.00912117177097204,FALSE
"DEPT OF ED PER DIEM TEACHERS",2024,15524,1138,16662,0.0682991237546513,FALSE
"DEPT OF ED PER DIEM TEACHERS",2025,16311,47,16358,0.00287321188409341,FALSE
"DEPT OF ED PER SESSION TEACHER",2014,75495,839,76334,0.0109911703827914,FALSE
"DEPT OF ED PER SESSION TEACHER",2015,78437,14905,93342,0.159681600994193,FALSE
"DEPT OF ED PER SESSION TEACHER",2016,74247,452,74699,0.00605095115061781,FALSE
"DEPT OF ED PER SESSION TEACHER",2017,75910,416,76326,0.00545030526950187,FALSE
"DEPT OF ED PER SESSION TEACHER",2018,77089,382,77471,0.00493087736056073,FALSE
"DEPT OF ED PER SESSION TEACHER",2019,82332,22344,104676,0.213458672475066,FALSE
"DEPT OF ED PER SESSION TEACHER",2020,80997,24720,105717,0.233831834047504,FALSE
"DEPT OF ED PER SESSION TEACHER",2021,70801,31527,102328,0.308097490422954,FALSE
"DEPT OF ED PER SESSION TEACHER",2022,90188,26658,116846,0.228146449172415,FALSE
"DEPT OF ED PER SESSION TEACHER",2023,82058,825,82883,0.00995379028268764,FALSE
"DEPT OF ED PER SESSION TEACHER",2024,84444,2917,87361,0.0333901855519053,FALSE
"DEPT OF ED PER SESSION TEACHER",2025,81299,217,81516,0.00266205407527357,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2014,5641,610,6251,0.0975843864981603,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2015,5662,864,6526,0.132393502911431,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2016,5791,1050,6841,0.153486332407543,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2017,5979,659,6638,0.0992768906297077,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2018,6079,1126,7205,0.156280360860514,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2019,6156,1112,7268,0.152999449642267,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2020,6107,1079,7186,0.150153075424436,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2021,5828,756,6584,0.114823815309842,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2022,5590,903,6493,0.139072847682119,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2023,5750,1112,6862,0.162051879918391,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2024,5764,1030,6794,0.151604356785399,FALSE
"DEPT OF ENVIRONMENT PROTECTION",2025,5767,659,6426,0.102552131963897,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2014,5539,703,6242,0.112624158923422,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2015,5595,1500,7095,0.211416490486258,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2016,5822,1530,7352,0.208106637649619,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2017,6566,856,7422,0.115332794395042,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2018,6918,1078,7996,0.134817408704352,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2019,6977,1428,8405,0.169898869720405,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2020,7062,1055,8117,0.129974128372551,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2021,6700,877,7577,0.115745017817078,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2022,6185,1660,7845,0.211599745060548,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2023,6284,1719,8003,0.21479445208047,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2024,6343,1381,7724,0.178793371310202,FALSE
"DEPT OF HEALTH/MENTAL HYGIENE",2025,6374,1018,7392,0.13771645021645,FALSE
"DEPT OF INFO TECH & TELECOMM",2014,1144,199,1343,0.148175725986597,FALSE
"DEPT OF INFO TECH & TELECOMM",2015,1233,496,1729,0.286871023713129,FALSE
"DEPT OF INFO TECH & TELECOMM",2016,1374,241,1615,0.14922600619195,FALSE
"DEPT OF INFO TECH & TELECOMM",2017,1486,242,1728,0.140046296296296,FALSE
"DEPT OF INFO TECH & TELECOMM",2018,1515,211,1726,0.122247972190035,FALSE
"DEPT OF INFO TECH & TELECOMM",2019,1558,369,1927,0.191489361702128,FALSE
"DEPT OF INFO TECH & TELECOMM",2020,1689,214,1903,0.112454019968471,FALSE
"DEPT OF INFO TECH & TELECOMM",2021,1633,144,1777,0.0810354530106922,FALSE
"DEPT OF INFO TECH & TELECOMM",2022,1564,361,1925,0.187532467532468,FALSE
"DEPT OF PARKS & RECREATION",2014,8540,5428,13968,0.388602520045819,FALSE
"DEPT OF PARKS & RECREATION",2015,9187,13700,22887,0.598593087779089,FALSE
"DEPT OF PARKS & RECREATION",2016,9591,5411,15002,0.360685241967738,FALSE
"DEPT OF PARKS & RECREATION",2017,9814,5573,15387,0.362188860726587,FALSE
"DEPT OF PARKS & RECREATION",2018,10266,4978,15244,0.326554710049856,FALSE
"DEPT OF PARKS & RECREATION",2019,9587,7060,16647,0.424100438517451,FALSE
"DEPT OF PARKS & RECREATION",2020,8188,5213,13401,0.389000820834266,FALSE
"DEPT OF PARKS & RECREATION",2021,8164,1754,9918,0.176850171405525,FALSE
"DEPT OF PARKS & RECREATION",2022,8279,3510,11789,0.297735176859785,FALSE
"DEPT OF PARKS & RECREATION",2023,8458,7016,15474,0.453405712808582,FALSE
"DEPT OF PARKS & RECREATION",2024,8353,3952,12305,0.321170255993499,FALSE
"DEPT OF PARKS & RECREATION",2025,8525,3826,12351,0.309772488057647,FALSE
"DEPT OF RECORDS & INFO SERVICE",2014,51,6,57,0.105263157894737,FALSE
"DEPT OF RECORDS & INFO SERVICE",2015,51,16,67,0.238805970149254,FALSE
"DEPT OF RECORDS & INFO SERVICE",2016,66,8,74,0.108108108108108,FALSE
"DEPT OF RECORDS & INFO SERVICE",2017,67,27,94,0.287234042553192,FALSE
"DEPT OF RECORDS & INFO SERVICE",2018,73,17,90,0.188888888888889,FALSE
"DEPT OF RECORDS & INFO SERVICE",2019,70,10,80,0.125,FALSE
"DEPT OF RECORDS & INFO SERVICE",2020,76,14,90,0.155555555555556,FALSE
"DEPT OF RECORDS & INFO SERVICE",2021,60,16,76,0.210526315789474,FALSE
"DEPT OF RECORDS & INFO SERVICE",2022,61,14,75,0.186666666666667,FALSE
"DEPT OF RECORDS & INFO SERVICE",2023,60,25,85,0.294117647058824,FALSE
"DEPT OF RECORDS & INFO SERVICE",2024,61,15,76,0.197368421052632,FALSE
"DEPT OF RECORDS & INFO SERVICE",2025,61,6,67,0.0895522388059701,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2014,417,63,480,0.13125,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2015,489,120,609,0.197044334975369,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2016,511,86,597,0.144053601340034,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2017,535,75,610,0.122950819672131,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2018,532,70,602,0.116279069767442,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2019,556,123,679,0.181148748159057,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2020,579,113,692,0.163294797687861,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2021,520,80,600,0.133333333333333,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2022,476,140,616,0.227272727272727,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2023,521,174,695,0.250359712230216,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2024,591,136,727,0.18707015130674,FALSE
"DEPT OF YOUTH & COMM DEV SRVS",2025,620,99,719,0.13769123783032,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2014,1227,121,1348,0.0897626112759644,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2015,1236,300,1536,0.1953125,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2016,1375,240,1615,0.148606811145511,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2017,1374,227,1601,0.141786383510306,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2018,1372,247,1619,0.152563310685608,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2019,1342,304,1646,0.184690157958688,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2020,1254,181,1435,0.126132404181185,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2021,1205,131,1336,0.0980538922155689,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2022,1117,213,1330,0.16015037593985,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2023,1080,368,1448,0.25414364640884,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2024,1107,268,1375,0.194909090909091,FALSE
"DEPT. OF DESIGN & CONSTRUCTION",2025,1148,188,1336,0.140718562874251,FALSE
"DEPT. OF HOMELESS SERVICES",2014,1844,382,2226,0.171608265947889,FALSE
"DEPT. OF HOMELESS SERVICES",2015,1952,358,2310,0.154978354978355,FALSE
"DEPT. OF HOMELESS SERVICES",2016,2374,504,2878,0.175121612230716,FALSE
"DEPT. OF HOMELESS SERVICES",2017,2313,644,2957,0.21778829895164,FALSE
"DEPT. OF HOMELESS SERVICES",2018,2353,370,2723,0.135879544619905,FALSE
"DEPT. OF HOMELESS SERVICES",2019,2283,457,2740,0.166788321167883,FALSE
"DEPT. OF HOMELESS SERVICES",2020,2097,729,2826,0.25796178343949,FALSE
"DEPT. OF HOMELESS SERVICES",2021,1984,430,2414,0.178127589063795,FALSE
"DEPT. OF HOMELESS SERVICES",2022,1828,641,2469,0.259619279060348,FALSE
"DEPT. OF HOMELESS SERVICES",2023,1754,414,2168,0.190959409594096,FALSE
"DEPT. OF HOMELESS SERVICES",2024,1764,457,2221,0.205763169743359,FALSE
"DEPT. OF HOMELESS SERVICES",2025,1725,290,2015,0.143920595533499,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2015,1062,330,1392,0.237068965517241,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2016,1066,194,1260,0.153968253968254,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2017,1071,176,1247,0.141138732959102,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2018,1098,144,1242,0.115942028985507,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2019,1108,185,1293,0.1430781129157,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2020,1142,198,1340,0.147761194029851,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2021,1137,136,1273,0.106834249803614,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2022,1115,307,1422,0.215893108298172,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2023,1161,404,1565,0.25814696485623,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2024,1270,219,1489,0.147078576225655,FALSE
"DISTRICT ATTORNEY KINGS COUNTY",2025,1301,295,1596,0.18483709273183,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2015,633,109,742,0.146900269541779,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2016,638,89,727,0.12242090784044,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2017,662,94,756,0.124338624338624,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2018,682,72,754,0.0954907161803713,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2019,697,102,799,0.127659574468085,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2020,737,121,858,0.141025641025641,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2021,824,137,961,0.142559833506764,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2022,787,205,992,0.206653225806452,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2023,837,247,1084,0.227859778597786,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2024,893,205,1098,0.186703096539162,FALSE
"DISTRICT ATTORNEY QNS COUNTY",2025,880,204,1084,0.188191881918819,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2015,102,19,121,0.15702479338843,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2016,104,28,132,0.212121212121212,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2017,143,17,160,0.10625,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2018,142,12,154,0.0779220779220779,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2019,153,25,178,0.140449438202247,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2020,187,24,211,0.113744075829384,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2021,195,24,219,0.10958904109589,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2022,191,42,233,0.180257510729614,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2023,191,71,262,0.270992366412214,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2024,224,36,260,0.138461538461538,FALSE
"DISTRICT ATTORNEY RICHMOND COU",2025,232,26,258,0.10077519379845,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2015,1374,505,1879,0.268759978712081,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2016,1428,310,1738,0.178365937859609,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2017,1462,332,1794,0.185061315496098,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2018,1535,311,1846,0.168472372697725,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2019,1503,497,2000,0.2485,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2020,1555,380,1935,0.196382428940568,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2021,1550,321,1871,0.17156600748263,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2022,1574,456,2030,0.224630541871921,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2023,1576,689,2265,0.304194260485651,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2024,1620,455,2075,0.219277108433735,FALSE
"DISTRICT ATTORNEY-MANHATTAN",2025,1707,442,2149,0.205677059097255,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2015,207,57,264,0.215909090909091,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2016,205,40,245,0.163265306122449,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2017,209,46,255,0.180392156862745,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2018,221,44,265,0.166037735849057,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2019,215,61,276,0.221014492753623,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2020,222,61,283,0.215547703180212,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2021,214,46,260,0.176923076923077,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2022,200,73,273,0.267399267399267,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2023,195,59,254,0.232283464566929,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2024,186,63,249,0.253012048192771,FALSE
"DISTRICT ATTORNEY-SPECIAL NARC",2025,210,40,250,0.16,FALSE
"DISTRICTING COMMISSION",2014,0,3,3,,TRUE
"DISTRICTING COMMISSION",2022,9,0,9,,TRUE
"DISTRICTING COMMISSION",2023,2,10,12,,TRUE
"DISTRICTING COMMISSION",2024,0,5,5,,TRUE
"DOE CUSTODIAL PAYROL",2014,776,23,799,0.0287859824780976,FALSE
"DOE CUSTODIAL PAYROL",2015,744,211,955,0.220942408376963,FALSE
"DOE CUSTODIAL PAYROL",2016,726,49,775,0.0632258064516129,FALSE
"DOE CUSTODIAL PAYROL",2017,1328,55,1383,0.0397686189443239,FALSE
"DOE CUSTODIAL PAYROL",2018,1270,125,1395,0.0896057347670251,FALSE
"DOE CUSTODIAL PAYROL",2019,1263,60,1323,0.0453514739229025,FALSE
"DOE CUSTODIAL PAYROL",2020,1233,202,1435,0.140766550522648,FALSE
"DOE CUSTODIAL PAYROL",2021,1301,211,1512,0.139550264550265,FALSE
"DOE CUSTODIAL PAYROL",2022,1261,60,1321,0.0454201362604088,FALSE
"DOE CUSTODIAL PAYROL",2023,1325,72,1397,0.0515390121689334,FALSE
"DOE CUSTODIAL PAYROL",2024,1274,195,1469,0.132743362831858,FALSE
"DOE CUSTODIAL PAYROL",2025,1220,48,1268,0.0378548895899054,FALSE
"EQUAL EMPLOY PRACTICES COMM",2014,6,2,8,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2015,6,5,11,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2016,11,4,15,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2017,10,4,14,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2018,11,4,15,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2019,12,3,15,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2020,13,2,15,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2021,11,2,13,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2022,11,4,15,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2023,11,2,13,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2024,12,6,18,,TRUE
"EQUAL EMPLOY PRACTICES COMM",2025,14,4,18,,TRUE
"FINANCIAL INFO SVCS AGENCY",2014,408,37,445,0.0831460674157303,FALSE
"FINANCIAL INFO SVCS AGENCY",2015,421,80,501,0.159680638722555,FALSE
"FINANCIAL INFO SVCS AGENCY",2016,424,48,472,0.101694915254237,FALSE
"FINANCIAL INFO SVCS AGENCY",2017,434,32,466,0.0686695278969957,FALSE
"FINANCIAL INFO SVCS AGENCY",2018,432,28,460,0.0608695652173913,FALSE
"FINANCIAL INFO SVCS AGENCY",2019,431,38,469,0.0810234541577825,FALSE
"FINANCIAL INFO SVCS AGENCY",2020,431,29,460,0.0630434782608696,FALSE
"FINANCIAL INFO SVCS AGENCY",2021,417,15,432,0.0347222222222222,FALSE
"FINANCIAL INFO SVCS AGENCY",2022,395,54,449,0.120267260579065,FALSE
"FINANCIAL INFO SVCS AGENCY",2023,419,74,493,0.150101419878296,FALSE
"FINANCIAL INFO SVCS AGENCY",2024,403,27,430,0.0627906976744186,FALSE
"FINANCIAL INFO SVCS AGENCY",2025,396,26,422,0.0616113744075829,FALSE
"FIRE DEPARTMENT",2014,15521,881,16402,0.0537129618339227,FALSE
"FIRE DEPARTMENT",2015,15962,1270,17232,0.0737000928505107,FALSE
"FIRE DEPARTMENT",2016,16505,3281,19786,0.165824320226423,FALSE
"FIRE DEPARTMENT",2017,17266,1245,18511,0.0672573064664254,FALSE
"FIRE DEPARTMENT",2018,17157,1030,18187,0.0566338593500852,FALSE
"FIRE DEPARTMENT",2019,17339,1176,18515,0.0635160680529301,FALSE
"FIRE DEPARTMENT",2020,17233,1697,18930,0.0896460644479662,FALSE
"FIRE DEPARTMENT",2021,16861,1846,18707,0.098679638637943,FALSE
"FIRE DEPARTMENT",2022,16885,3569,20454,0.174489097487044,FALSE
"FIRE DEPARTMENT",2023,16946,1754,18700,0.0937967914438503,FALSE
"FIRE DEPARTMENT",2024,17129,3938,21067,0.186927422034461,FALSE
