"name","male","female","total","common","male_weight","female_weight"
"HADASSAH",0,9312,9312,TRUE,0,1
"ZOLA",26,9286,9312,TRUE,0.00279209621993127,0.997207903780069
"GALILEA",0,9309,9309,TRUE,0,1
"CLIFF",9307,0,9307,TRUE,1,0
"BREE",17,9287,9304,TRUE,0.00182717110920034,0.9981728288908
"JAYDON",9101,201,9302,TRUE,0.97839174371103,0.0216082562889701
"ARLIE",6712,2585,9297,TRUE,0.721953318274712,0.278046681725288
"EMILE",8641,648,9289,TRUE,0.930240068898697,0.0697599311013026
"KENSLEY",337,8948,9285,TRUE,0.0362950996230479,0.963704900376952
"TANA",6,9274,9280,TRUE,0.000646551724137931,0.999353448275862
"KEON",9123,152,9275,TRUE,0.983611859838275,0.0163881401617251
"JAIDYN",3448,5799,9247,TRUE,0.372877690061642,0.627122309938358
"ENID",6,9234,9240,TRUE,0.000649350649350649,0.999350649350649
"LASHONDA",0,9234,9234,TRUE,0,1
"MADDEN",7682,1551,9233,TRUE,0.832015596230911,0.167984403769089
"MAXIMO",9223,0,9223,TRUE,1,0
"DINO",9219,0,9219,TRUE,1,0
"BRENNEN",9039,178,9217,TRUE,0.980687859390257,0.0193121406097429
"GRISELDA",61,9124,9185,TRUE,0.00664126292868808,0.993358737071312
"KAYCEE",530,8654,9184,TRUE,0.0577090592334495,0.94229094076655
"LIZETH",9,9168,9177,TRUE,0.0009807126511932,0.999019287348807
"MAEGAN",0,9171,9171,TRUE,0,1
"BRIGITTE",0,9165,9165,TRUE,0,1
"JOSEF",9158,0,9158,TRUE,1,0
"PATRICA",10,9147,9157,TRUE,0.00109206071857595,0.998907939281424
"AYAAN",8903,251,9154,TRUE,0.972580292768189,0.0274197072318112
"LATRICE",17,9137,9154,TRUE,0.00185711164518243,0.998142888354818
"ESTELA",0,9147,9147,TRUE,0,1
"ANTIONETTE",0,9141,9141,TRUE,0,1
"TYRESE",8983,148,9131,TRUE,0.983791479575074,0.0162085204249261
"ASHA",58,9069,9127,TRUE,0.00635477155691903,0.993645228443081
"KYREE",8202,919,9121,TRUE,0.899243504001754,0.100756495998246
"RIAN",5624,3494,9118,TRUE,0.616801930247861,0.383198069752139
"MARLYN",2306,6806,9112,TRUE,0.253072870939421,0.74692712906058
"BLAZE",8508,602,9110,TRUE,0.933918770581778,0.0660812294182217
"FRANCO",9107,0,9107,TRUE,1,0
"DOVIE",10,9076,9086,TRUE,0.0011005943209333,0.998899405679067
"SUZAN",0,9081,9081,TRUE,0,1
"ERNA",11,9060,9071,TRUE,0.00121265571601808,0.998787344283982
"DARIA",5,9063,9068,TRUE,0.000551389501543891,0.999448610498456
"ALIANA",0,9065,9065,TRUE,0,1
"RUBI",14,9051,9065,TRUE,0.00154440154440154,0.998455598455599
"JONNIE",3181,5880,9061,TRUE,0.351065003862708,0.648934996137292
"CAMILO",9058,0,9058,TRUE,1,0
"JAYDE",404,8647,9051,TRUE,0.0446359518285272,0.955364048171473
"TIFFANIE",0,9047,9047,TRUE,0,1
"DORRIS",1675,7360,9035,TRUE,0.185390149418926,0.814609850581074
"LENNY",8299,736,9035,TRUE,0.918539014941893,0.0814609850581074
"STACIA",0,9027,9027,TRUE,0,1
"APOLLO",9000,12,9012,TRUE,0.99866844207723,0.00133155792276964
"ELDA",42,8970,9012,TRUE,0.00466045272969374,0.995339547270306
"ZACK",9012,0,9012,TRUE,1,0
"EMMALEE",0,9008,9008,TRUE,0,1
"OFELIA",5,8992,8997,TRUE,0.000555740802489719,0.99944425919751
"ANDRIA",60,8933,8993,TRUE,0.00667185588791282,0.993328144112087
